BOX
NOW
CNI
HASI
OA
AROC
ASH
SYY
LXFR
WRB
BOE
RVT
HD
TLP
CSLT
BIOA
RIV
PJC
CLF
DX
ADM
ASX
HQH
WAB
LEA
SNAP
SSD
KKR
LYB
HRS
STK
UVV
RTN
RMD
ESE
DCP
HIL
BMO
PMC
COTY
IDE
PJT
ABBV
CNNX
TLI
IIF
FNB
USPH
BP
ZX
XNY
TRGP
INST
BR
CLS
SC
BKE
KOF
AGD
SHAK
OSG
FBHS
NAP
FN
SCI
AGU
HXL
EXC
DNR
CLGX
LLL
FMC
AXL
KYN
CTLT
EMO
NRG
KAMN
BGY
MOH
TTM
NPK
NWL
FET
Y
GLOB
OUT
PSO
HPQ
RGA
REV
WCC
ABT
LDOS
MRC
NQ
EFX
YUM
VEEV
NGG
CIB
AFSS
VG
IR
CZZ
IFF
JHX
STN
BRO
FLS
AJX
ALDW
MIXT
YPF
MMM
BC
OB
QUOT
RELX
ZNH
HHS
RPM
HGV
FII
SFL
NLSN
LFC
HY
IBN
CTS
TPL
WUBA
XL
USA
EMR
MET
RIO
TX
ALL
EBS
WBK
SPN
TMO
BNS
AVAL
CEE
ZTS
PTHN
BLX
EC
EPE
CALX
ENLK
STNG
AFG
NC
AIZ
STL
MMS
OEC
SPH
PFSI
MO
SXI
TEVA
CTB
DAN
NP
PSX
FNFV
BBDO
TS
TD
TAC
TRU
LUV
ALG
BABA
AFST
SYF
FBK
PII
AFI
ARCH
EVH
GD
MOS
PGEM
DDD
EVTC
CHSP
HOME
CIT
CF
CGA
TRK
ELVT
APAM
PBI
MMC
DM
CRT
AZN
WU
XYL
ANTX
BYD
EVC
AF
HCC
EPC
DOOR
RY
ELLI
CNXC
HRG
BOH
HPE
ALB
NVS
BETR
TER
RRD
WCG
PAG
GDDY
HLF
MTD
CCJ
SRLP
RGR
MSM
FSB
DOV
GTS
AXE
FCFS
BK
HOV
ANET
LB
CBZ
ORA
BBL
JTA
ASGN
ZBH
CABO
UHS
POT
SID
PKI
ATH
CPK
FLT
YUMC
AXTA
PKX
MGA
NCR
ALK
LUK
JNPR
RAI
NGVC
STO
AYR
PFG
ENR
SPA
SM
WNR
FDX
GKOS
GRA
HYH
GDOT
VEC
FMX
KEG
AIT
EAT
AVD
MLM
APD
XOXO
BPT
BAM
RENX
CR
HZO
SMP
QSR
AZRE
QEP
SPGI
FFG
AEL
FLR
UIS
LPL
FAC
SCS
SNN
SNV
REX
NVO
LEJU
DNB
CPL
CSV
TVPT
GLW
RFP
BBT
HLI
TAL
LDF
PAM
NVRO
SSNI
LLY
ENIC
QUAD
URI
TTC
WRK
CRS
BRFS
EV
DDC
PKE
EVR
NGVT
TNET
ROP
MXE
KAI
SHO
FHN
CNC
AMG
WHR
QTM
CFR
SMFG
HRI
STE
TSM
KMPA
HI
TEN
MODN
FICO
ROG
PPG
TREC
SUM
UFS
DLB
RYI
TEX
NUE
GJO
JBL
TPC
LDL
GGB
WBS
CMD
BIP
CCE
MAS
RATE
JOE
CIVI
XRX
GNRC
EME
STC
FF
GER
DCO
FBP
AVP
BXC
ENV
HII
KFY
BWXT
UNF
SLF
SQ
RST
SPR
AZO
APH
UAL
HAE
NPO
JCI
CNO
LM
MGM
ARA
JEC
OIS
BRC
MTX
CBI
ARW
TRC
PRU
BHE
R
ALSN
MBI
BXS
VGR
WK
FIX
JNS
HUBB
FCB
HON
FBR
KBR
ANF
MSB
CIR
MNK
VRTV
SAM
REVG
TEL
MYE
FUL
ROK
FRC
BEN
NGS
EQGP
MTRN
A
CBT
PRLB
ITT
ETN
LCII
UGP
GWR
YEXT
PLOW
SCHW
YRD
CWH
WOR
NOV
MPLX
DNOW
WBT
OMAM
RUBI
LC
KB
PZE
CUB
BLK
CX
UA
ARC
CLH
AAN
GWB
GVA
SKX
CUBI
TUP
BHLB
HNR
HRB
WTS
DEO
WYN
CBPX
AIR
BRS
WEX
FDP
MCO
KEX
GHL
PFS
HZN
PRI
PB
FTV
UAA
KMX
RT
BWA
RS
NCI
L
IVZ
MEI
WD
IHC
TRN
CIA
RE
VHI
VLRS
EMN
CMI
DRH
HNI
VLO
MATX
VMW
TLRD
FPL
XPO
SNX
ENLC
IVC
AMX
S
SQM
SSL
I
BTO
CGG
LXU
CKH
SUP
EXP
PLT
RF
DE
ENVA
PM
FOE
GFF
CBU
CYH
AJRD
ACCO
RJF
RBC
CRY
CIE
WTW
TSE
X
UL
SLCA
ACM
SHG
PHX
KRA
ABB
PWR
SAIC
BBD
AMOV
CAT
AMP
HTH
UN
KOP
TKR
ITG
OXM
STT
CPE
FDEU
CNA
MBT
WF
SALT
ALLY
GPX
CFG
BTU
DVMT
BITA
UNM
PH
LUB
BID
JELD
NX
DHX
LAD
NWY
CVRR
RLI
THR
DAL
FSS
VSH
BSX
AL
WBC
BBG
ABG
MCRN
HSC
BRSS
OLN
RXN
ALV
AER
FC
SSI
ASR
RNG
AN
FLOW
GS
BW
OSK
ITUB
FMS
KRO
OPY
TSQ
EEA
GCP
CFX
ESL
C
CMC
CPF
TRQ
IRS
POL
CACI
USM
