PAA
SNA
PDI
RHP
VZA
AEK
BOXC
GYB
TDJ
SNOW
HUM
CTU
ELU
COTV
KBH
BUI
MBLY
ARDC
ZAYO
MYJ
NBL
NAN
MUJ
NKX
VIV
BCE
BPK
EVG
CLB
LQ
SHI
ETR
HSEB
NXR
THW
TGT
OSB
BFAM
BGCA
EXAR
JPI
MYOV
TJX
SWJ
ECCZ
DY
CRI
FPF
RFT
ELC
NOMD
CBG
HP
APU
BEP
FIF
FCN
SJR
EVER
NIM
RZA
NVTA
PHT
JHD
ESNT
HSEA
CHMI
ACN
MPSX
RCL
HNP
LVLT
GEB
CST
AEB
KT
MCN
JMPB
PEN
NVR
TWX
SBNB
CTW
G
HW
WTM
APC
JMM
MYF
GME
BMY
VFC
CWT
PTY
GBAB
FMO
CNK
DSW
HF
RENN
BAF
VEDL
AYI
MIY
EGF
AEUA
NFJ
MAIN
PRH
MMP
NSR
AWF
AEP
STAR
TVC
SOJB
NMI
HPS
MHLA
EOG
WPZ
XHR
MFV
CEO
JRO
GOLF
WGL
WFT
PCN
PPR
PPL
NUW
AAP
PTR
GATX
NHF
WLH
BLW
ANFI
MIC
TTP
IBP
CMO
NS
HYI
NSS
HIO
GCH
EW
ECCA
RSPP
NWHM
EVT
CRL
IHIT
MGF
GJH
FLO
EFT
CBA
TCAP
MDT
AQN
FRA
PFGC
PBH
LCI
OGS
MCK
INB
SMG
T
TCCB
PGZ
ISP
BANC
SEAS
MIN
DVN
IBM
MJN
PHK
ATO
PCI
ENZ
JLS
MVCB
HEQ
FTS
FSD
USFD
EPAM
AM
JMT
CAJ
EMD
PFO
GRUB
GEO
INSW
SVU
BCRH
HIX
PBB
MCA
AFSD
SPLP
SPE
AGN
ARI
JFC
EQCO
TDA
BH
DXB
LNT
CHD
CNQ
NRT
FMY
DRUA
ITGR
ICE
EOS
NCV
NI
DPS
ACRE
TRR
NMT
EVF
BHL
BTZ
JPC
INT
PKY
SQNS
PFE
UZB
AED
GPK
ETB
OGE
ATHM
BAH
IRR
HTF
BGX
APLE
FLY
AEH
HTGX
MMT
SGU
PFH
ISD
SRT
APO
AWK
MDR
CTBB
IDA
PIY
BURL
NCZ
CHE
CNX
JDD
TU
HTGC
FE
KST
FAM
KMB
MVC
MUA
DSL
CELP
TNC
DHG
MHNC
REN
OXY
SO
KEF
TRP
FTK
MSL
GJV
KIO
PHI
CSRA
TEI
MCR
DIN
ECC
AGRO
CHGG
ENBL
ANTM
IRM
DFP
JMPC
TOO
TSNU
COP
LRN
MHK
CPA
LZB
OKS
TWLO
BHK
OMF
JEQ
SGF
CIF
TSU
NSM
CSL
PKG
HMN
TYG
EXCU
SMM
AIY
TM
OMI
TSN
ES
CXW
ARNC
EZT
COT
SEP
POR
WAAS
ED
ETO
WMC
THC
EE
PNTA
JHB
ATR
RZB
BPL
FIV
HBI
UZC
PNW
BGT
SJT
NCB
DF
SCM
CEM
SAR
SWM
DTY
FT
SNE
EIX
XIN
PIM
AMFW
HYB
XEL
LYV
TPRE
ALLE
AWH
XTLY
RFTA
H
ATV
JSD
RGT
BXMX
ENJ
EDI
GRR
IVH
DUK
MTT
RRTS
CYD
MCI
PMT
HYT
CRM
MON
VVI
APF
PCF
LCM
LMHB
EGIF
NGL
EARN
SJM
KEP
FOF
RA
PKO
LVS
CHT
ARES
TCS
BCX
PEO
TPX
RHT
GHC
TNH
MRK
DTE
AIF
CLX
BIG
K
VTA
CHA
EEP
KO
COH
YUME
TSLF
IEX
SOJA
SGM
IFN
JCE
BX
CUDA
BGH
HMLP
BBU
MKL
XON
GAB
FSIC
AR
KYO
CTL
ELY
MSD
AON
HRTG
XOM
ADS
DTQ
THQ
B
AFT
JPS
AGX
CLR
TR
FHY
GOF
SERV
GPC
ZTO
SAB
FGL
KRP
CPT
DPG
SIX
MDU
CBD
DHI
HUBS
BSL
PDT
TWTR
KF
SYT
CCS
AVH
CORR
MD
SPB
FTI
NYLD
CI
EMP
DEL
EGN
ETV
LBF
LPX
NNA
STV
PACD
TDI
NSC
SCQ
FCT
BDJ
WCN
IDT
CAPL
RMT
EHI
MXF
SXCP
BGIO
CTAA
FDS
DKT
FRO
PAR
NBHC
TSS
XEC
ZBK
TLK
TGP
PHH
Q
EFR
PK
CEL
MSGN
PE
MCD
EPD
TDE
WWE
VLT
CII
AEE
NBLX
PXD
RIG
TXT
CVEO
UTF
CBM
JRI
KR
EDD
CVG
MSCI
OKE
ELP
RGS
BME
SITE
ADNT
DHT
MWA
RWT
MSCA
DTK
ETJ
LKSD
DSE
KYE
GEL
WST
FLC
TEP
AMBR
CAG
BCC
SPXX
GPN
FGB
SNP
ALE
DAR
CRC
UGI
BSAC
EDF
PSF
SXT
MSP
SCCO
PRTY
UNH
NTP
MKC
CIG
TEGP
ARMK
HJV
D
SRE
COL
GNK
TDF
PPX
JFR
LPI
RDC
RCI
WEC
AI
WWW
AVT
CLDT
MDP
KWR
JMLP
CHH
CNP
RESI
GIS
PIR
CP
EQM
GAM
SZC
HRL
NFX
JCP
DPZ
SCG
EOCC
FRAC
PYS
WLK
CHCT
PAY
INXN
SOR
AC
HES
INF
ATKR
LN
SEMG
IT
BCH
NWN
JHI
SRG
ELJ
JPW
OAKS
WAGE
FL
MRT
SD
DGX
FFA
BWG
PFK
BMS
IGA
EFF
V
BKHU
AMRC
DVA
ZF
AHT
SSTK
DRQ
AWR
BNED
PEP
TECK
WES
AJG
BERY
PNM
ASIX
F
DECK
NOM
OPP
WLKP
GDO
WNRL
NXC
GBL
HIVE
DCUD
GES
KEM
NWE
IP
ETY
THG
NEU
SFE
CBB
HQL
CTR
MTN
DDS
WIT
RMP
DIAX
SUPV
MFG
JMEI
GSK
APB
GIB
MCY
ZTR
PAC
ACV
RDY
JOF
WR
EOI
LOW
PGR
VNTV
GFY
PGP
AWP
RTEC
ARD
HCA
GJS
LOR
EOD
ODC
NLS
ORI
FNF
NTG
SLRA
GMZ
DDF
AVA
FEO
ECL
VMC
SRF
ADX
NIE
RL
BFR
HTD
HLS
NDP
HCI
VC
CL
UVE
VTRB
CODI
LAZ
AFL
FIT
AXS
VAC
OC
CSTM
CMP
JMF
JP
EIG
PHD
TREX
HOG
LEG
FAF
ETP
PLNT
LH
AVY
FCF
MCS
ORCL
DD
DNI
VVV
BA
TWN
DHR
PAGP
PRGO
JNJ
MGU
ETG
SEE
JAX
TBI
EL
MHF
WY
MTU
GHM
GGM
BT
SRV
HST
TCP
ESV
FIS
AOD
SHW
CB
VVC
AWI
NAT
AZUL
IGD
BLL
MUSA
LW
HSY
RHI
UNP
BCO
BIF
GZT
RDN
ECCB
BGR
CVS
CEA
ICL
MPV
PSTG
NUS
GWRE
WM
TIF
CPN
UFI
CVX
DG
GCAP
CEQP
TNK
RNR
KAR
PGH
CPS
DEX
ENO
ETW
KMF
NHA
RSG
BBY
MPX
CM
CE
NYT
ERJ
EDN
IID
GPS
TMST
MTG
MTZ
GMRE
CAL
IPG
NOA
TRI
CLD
DFS
IHG
MC
SWZ
CADE
SCD
BKH
NNI
GLOP
HMC
PG
GGZ
EXPR
JTD
DOW
ABEV
KED
VRX
KNL
LGI
DGI
MIE
AFGE
ASG
TDS
GLT
TV
AET
QTWO
BAX
DBD
AXP
TFX
BST
VSM
AHL
FBC
ZEN
EEQ
DQ
ABM
AGO
AMN
PEG
DLX
WAT
OAS
WMS
CPB
ONDK
KMG
NM
CXO
ARCX
PRO
CAE
KMPR
CCL
UNVR
BKU
BHP
PNR
NTB
CW
TDC
FTAI
UPS
MXL
VCRA
CUK
NRE
BMA
NOC
GDV
MED
STON
ROL
LMT
SYK
VLP
GMTA
TPH
USG
ACP
PRA
EXG
FDC
AVK
VIPS
MCX
UTX
GGG
PANW
CRCM
DL
DCI
GIL
MSI
BG
YELP
TYL
MSF
PSXP
HEP
PF
HLT
ORC
ORN
SWN
COO
EMF
MLI
SHLX
DRI
HTY
AEO
VR
GPM
CCK
UNT
TRV
TMHC
EVHC
CEN
AOS
TMK
HRC
MTDR
TAP
INGR
WMLP
NSP
ATEN
SU
MA
PAYC

